,Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
71,15,22,1,0,68.18,3.0,caught,2,v England,Rajkot,11-Jan-13
72,37,54,1,1,68.51,3.0,caught,1,v England,Kochi,15-Jan-13
73,77,79,9,2,97.46,3.0,not out,2,v England,Ranchi,19-Jan-13
74,26,33,3,0,78.78,3.0,caught,2,v England,Mohali,23-Jan-13
75,0,1,0,0,0.0,3.0,caught,1,v England,Dharamsala,27-Jan-13
76,43,34,4,1,126.47,3.0,caught,1,v England,Birmingham,23-Jun-13
77,11,21,0,1,52.38,3.0,caught,1,v West Indies,Kingston,30-Jun-13
78,102,83,13,2,122.89,3.0,caught,1,v West Indies,Port of Spain,5-Jul-13
79,115,108,13,1,106.48,3.0,caught,2,v Zimbabwe,Harare,24-Jul-13
80,14,18,2,0,77.77,3.0,caught,1,v Zimbabwe,Harare,26-Jul-13
81,68,88,5,1,77.27,3.0,not out,2,v Zimbabwe,Harare,28-Jul-13
82,61,85,6,0,71.76,3.0,lbw,2,v Australia,Pune,13-Oct-13
83,100,52,8,7,192.3,3.0,not out,2,v Australia,Jaipur,16-Oct-13
84,68,73,9,0,93.15,3.0,caught,1,v Australia,Mohali,19-Oct-13
85,115,66,18,1,174.24,3.0,not out,2,v Australia,Nagpur,30-Oct-13
86,0,3,0,0,0.0,3.0,run out,1,v Australia,Bengaluru,2-Nov-13
87,86,84,9,2,102.38,3.0,caught,2,v West Indies,Kochi,21-Nov-13
88,99,100,9,0,99.0,3.0,caught,1,v West Indies,Visakhapatnam,24-Nov-13
89,19,18,3,0,105.55,3.0,caught,2,v West Indies,Kanpur,27-Nov-13
90,31,35,5,0,88.57,3.0,caught,2,v South Africa,Johannesburg,5-Dec-13
91,0,5,0,0,0.0,3.0,caught,2,v South Africa,Durban,8-Dec-13
92,123,111,11,2,110.81,3.0,caught,2,v New Zealand,Napier,19-Jan-14
93,78,65,7,2,120.0,3.0,caught,2,v New Zealand,Hamilton,22-Jan-14
94,2,10,0,0,20.0,2.0,caught,1,v New Zealand,Hamilton,28-Jan-14
95,82,78,7,3,105.12,3.0,caught,2,v New Zealand,Wellington,31-Jan-14
96,136,122,16,2,111.47,3.0,bowled,2,v Bangladesh,Fatullah,26-Feb-14
97,0,3,0,0,0.0,3.0,caught,1,v England,Cardiff,27-Aug-14
98,40,50,2,1,80.0,3.0,caught,2,v England,Nottingham,30-Aug-14
99,1,3,0,0,33.33,3.0,not out,2,v England,Birmingham,2-Sep-14
100,13,21,2,0,61.9,3.0,caught,2,v England,Leeds,5-Sep-14
101,2,5,0,0,40.0,3.0,caught,2,v West Indies,Kochi,8-Oct-14
102,62,78,5,0,79.48,4.0,caught,1,v West Indies,Delhi,11-Oct-14
103,127,114,13,3,111.4,3.0,run out,1,v West Indies,Dharamsala,17-Oct-14
104,22,21,2,0,104.76,4.0,caught,1,v Sri Lanka,Cuttack,2-Nov-14
105,49,44,2,2,111.36,4.0,caught,2,v Sri Lanka,Ahmedabad,6-Nov-14
106,53,61,4,1,86.88,4.0,caught,2,v Sri Lanka,Hyderabad (Deccan),9-Nov-14
107,66,64,6,0,103.12,4.0,run out,1,v Sri Lanka,Kolkata,13-Nov-14
108,139,126,12,3,110.31,4.0,not out,2,v Sri Lanka,Ranchi,16-Nov-14
109,9,16,0,0,56.25,4.0,caught,1,v Australia,Melbourne,18-Jan-15
110,1,13,0,0,7.69,3.0,caught,2,v Australia,Sydney,26-Mar-15
111,1,4,0,0,25.0,3.0,caught,2,v Bangladesh,Dhaka,18-Jun-15
112,23,27,3,1,85.18,3.0,lbw,1,v Bangladesh,Dhaka,21-Jun-15
113,25,35,1,0,71.42,3.0,bowled,1,v Bangladesh,Dhaka,24-Jun-15
114,11,18,0,0,61.11,4.0,caught,2,v South Africa,Kanpur,11-Oct-15
115,12,18,0,0,66.66,4.0,run out,1,v South Africa,Indore,14-Oct-15
116,77,99,5,0,77.77,3.0,caught,2,v South Africa,Rajkot,18-Oct-15
117,138,140,6,5,98.57,3.0,caught,1,v South Africa,Chennai,22-Oct-15
118,7,6,0,1,116.66,3.0,caught,2,v South Africa,Mumbai,25-Oct-15
119,91,97,9,1,93.81,3.0,caught,1,v Australia,Perth,12-Jan-16
120,59,67,4,0,88.05,3.0,run out,1,v Australia,Brisbane,15-Jan-16
121,117,117,7,2,100.0,3.0,caught,1,v Australia,Melbourne,17-Jan-16
122,106,92,11,1,115.21,3.0,caught,2,v Australia,Canberra,20-Jan-16
123,8,11,1,0,72.72,3.0,caught,2,v Australia,Sydney,23-Jan-16
124,85,81,9,1,104.93,3.0,not out,2,v New Zealand,Dharamsala,16-Oct-16
125,9,13,1,0,69.23,3.0,caught,2,v New Zealand,Delhi,20-Oct-16
126,154,134,16,1,114.92,3.0,not out,2,v New Zealand,Mohali,23-Oct-16
127,45,51,2,1,88.23,3.0,caught,2,v New Zealand,Ranchi,26-Oct-16
128,65,76,2,1,85.52,3.0,caught,1,v New Zealand,Visakhapatnam,29-Oct-16
129,122,105,8,5,116.19,3.0,caught,2,v England,Pune,15-Jan-17
130,8,5,2,0,160.0,3.0,caught,1,v England,Cuttack,19-Jan-17
131,55,63,8,0,87.3,3.0,caught,2,v England,Kolkata,22-Jan-17
